,_id,title,text,metadata,num
0,0_,,"skills programming languages python pandas, numpy, scipy, scikit learn, matplotlib , sql, java, javascript jquery. machine learning regression, svm, na ve bayes, knn, random forest, decision trees, boosting techniques, cluster analysis, word embedding, sentiment analysis, natural language processing, dimensionality reduction, topic modelling lda, nmf , pca neural nets. database visualizations mysql, sqlserver, cassandra, hbase, elasticsearch d3.js, dc.js, plotly, kibana, matplotlib, ggplot, tableau. others regular expression, html, css, angular 6, logstash, kafka, python flask, git, docker, computer vision open cv and understanding of deep learning.education details data science assurance associate data science assurance associate ernst young llp skill details javascript exprience 24 months jquery exprience 24 months python exprience 24 monthscompany details company ernst young llp description fraud investigations and dispute services assurance technology assisted review tar technology assisted review assists in accelerating the review process and run analytics and generate reports. core member of a team helped in developing automated review platform tool from scratch for assisting e discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review. understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. worked on analyzing the outputs and precision monitoring for the entire tool. tar assists in predictive coding, topic modelling from the evidence by following ey standards. developed the classifier models in order to identify red flags and fraud related issues. tools technologies python, scikit learn, tfidf, word2vec, doc2vec, cosine similarity, na ve bayes, lda, nmf for topic modelling, vader and text blob for sentiment analysis. matplot lib, tableau dashboard for reporting. multiple data science and analytic projects usa clients text analytics motor vehicle customer review data received customer feedback survey data for past one year. performed sentiment positive, negative neutral and time series analysis on customer comments across all 4 categorie",,321
1,1_,,"s. created heat map of terms by survey category based on frequency of words extracted positive and negative words across all the survey categories and plotted word cloud. created customized tableau dashboards for effective reporting and visualizations. chatbot developed a user friendly chatbot for one of our products which handle simple questions about hours of operation, reservation options and so on. this chat bot serves entire product related questions. giving overview of tool via qa platform and also give recommendation responses so that user question to build chain of relevant answer. this too has intelligence to build the pipeline of questions as per user requirement and asks the relevant recommended questions. tools technologies python, natural language processing, nltk, spacy, topic modelling, sentiment analysis, word embedding, scikit learn, javascript jquery, sqlserver information governance organizations to make informed decisions about all of the information they store. the integrated information governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk. scan data from multiple sources of formats and parse different file formats, extract meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana. preforming rot analysis on the data which give information of data which helps identify content that is either redundant, outdated, or trivial. preforming full text search analysis on elastic search with predefined methods which can tag as pii personally identifiable information social security numbers, addresses, names, etc. which frequently targeted during cyber attacks. tools technologies python, flask, elastic search, kibana fraud analytic platform fraud analytics and investigative platform to review all red flag cases. fap is a fraud analytics and investigative platform with inbuilt case manager and suite of analytics for various erp systems. it can be used by clients to interrogate their accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics tools technologies html, javascript, sqlserver, jquery, css, bootstrap, node.js, d3.js, dc.js",,327
2,2_,,"education details may 2013 to may 2017 b.e uit rgpv data scientist data scientist matelabs skill details python exprience less than 1 year months statsmodels exprience 12 months aws exprience less than 1 year months machine learning exprience less than 1 year months sklearn exprience less than 1 year months scipy exprience less than 1 year months keras exprience less than 1 year monthscompany details company matelabs description ml platform for business professionals, dummies and enthusiasts. 60 a koramangala 5th block, achievements tasks behind sukh sagar, bengaluru",,87
3,3_,,", india developed and deployed auto preprocessing steps of machine learning mainly missing value treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction. deployed automated classification and regression model. linkedin.com in aditya rathore b4600b146 reasearch and deployed the time series forecasting model arima, sarimax, holt winter and prophet. worked on meta feature extracting problem. github.com rathorology implemented a state of the art research paper on outlier detection for mixed attributes. company matelabs description ",,74
4,4_,,"areas of interest deep learning, control system design, programming in python, electric machinery, web development, analytics technical activities q hindustan aeronautics limited, bangalore for 4 weeks under the guidance of mr. satish, senior engineer in the hangar of mirage 2000 fighter aircraft technical skills programming matlab, python and java, labview, python webframework django, flask, ltspice intermediate languages and and mipower intermediate, github gitbash , jupyter notebook, xampp, mysql basics, python software packages interpreters anaconda, python2, python3, pycharm, java ide eclipse operating systems windows, ubuntu, debian kali linux education details january 2019 b.tech. electrical and electronics engineering manipal institute of technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy of higher data science data science an",,121
5,5_,,d electrical enthusiast skill details data analysis exprience less than 1 year months excel exprience less than 1 year months machine learning exprience less than 1 year months mathematics exprience less than 1 year months python exprience less than 1 year months matlab exprience less than 1 year months electrical engineering exprience less than 1 year months sql exprience less than 1 year monthscompany details company themathcompany description i am currently working with a casino based operator name not to be disclosed in macau.i need to segment the customers who visit their property based on the value the patrons bring into the company.basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up.henceforth they can implement target marketing strategy to attract their customers who add value to the business.,,144
6,8_,,"education details mca ymcaust, faridabad, haryana data science internship skill details data structure exprience less than 1 year months c exprience less than 1 year months data analysis exprience less t",,31
7,9_,,han 1 year months python exprience less than 1 year months core java exprience less than 1 year months database management exprience less than 1 year monthscompany details company itechpower description ,,31
8,10_,,"skills c basics, iot, python, matlab, data science, machine learning, html, microsoft word, microsoft excel, microsoft powerpoint. recognition academic secured first place in b.tech.education details august 2014 to may 2018 b.tech. ghatkesar, andhra pradesh aurora's scientific and technological institute june 2012 to may 2014 secon",,45
9,11_,,"dary education warangal, telangana sr junior college data science skill details ms office exprience less than 1 year months c exprience less than 1 year months machine learning exprience less than 1 year months data science exprience less than 1 year months matlab exprience less than 1 year monthscompany details company description ",,52
